,bonus,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio
45,2.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0
46,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0
47,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0
48,2.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
49,4.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0
50,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
51,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
52,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
53,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0
54,3.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0
55,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0
56,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
57,2.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
58,4.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0
59,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0
60,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
61,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
62,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
63,3.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0
64,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
66,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0
67,3.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0
68,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
69,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0
70,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0
72,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
74,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
75,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0
76,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0
78,4.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0
81,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0
82,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0
83,4.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0
84,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
85,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0
86,1.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,4.0
87,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
88,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0
89,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0
90,4.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0
91,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,2.0
92,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,1.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0
96,4.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0
97,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
101,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0
102,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0
103,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
104,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
105,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
106,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0
109,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0
110,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0
111,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,4.0
112,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0
